university_name,year,world_rank,country,national_rank,quality_of_education,citations,patents,score,award,pub,teaching,international,research,num_students,student_staff_ratio
Emory University,2015,84,USA,51,367,93,55,51.85,0,51.3,49,42.9,32.4,12338,4.5
Tufts University,2014,84,USA,53,68,79,84,52.71,16.3,35.1,46.7,43.4,32.1,10410,10
University of Virginia,2012,84,USA,54,101,57,86,45.2,0,45.1,37,26.4,42.2,23845,10.2
Utrecht University,2013,84,Netherlands,1,101,47,101,45.73,20.1,47.1,48,47.3,64.7,30779,15.4
Leiden University,2012,85,Netherlands,1,88,101,101,45.13,9.7,47.6,45.4,54.4,55.3,21222,17.1
University of Zurich,2014,85,Switzerland,3,110,55,94,52.69,24,52.1,38,85.5,29.8,26583,6.5
Tel Aviv University,2014,86,Israel,3,74,176,28,52.63,0,47.4,39.9,43.3,48.3,23977,24.4
Tel Aviv University,2015,86,Israel,3,77,136,39,51.75,0,48.1,43.5,46.1,51.1,23977,24.4
Tufts University,2012,86,USA,55,60,75,101,44.91,16.8,36.6,45.8,41.3,37.4,10410,10
Georgia Institute of Technology,2012,87,USA,56,101,46,40,44.71,0,44.2,66.6,65,73.8,19967,20.1
Tsinghua University,2014,87,China,2,294,134,16,52.6,0,62.7,66.8,42.6,65.9,39763,13.7
Utrecht University,2015,87,Netherlands,2,84,59,429,51.74,20,46,38.2,52.9,54.8,30779,15.4
University of Sydney,2015,88,Australia,1,105,46,75,51.61,0,64.7,52.8,83.6,60.8,41868,20.2
University of Zurich,2012,88,Switzerland,4,101,99,101,44.51,24.7,50.1,56.7,87.4,45.9,26583,6.5
Utrecht University,2014,88,Netherlands,1,102,55,338,52.42,20,47.7,36.3,49.2,54.7,30779,15.4
"University of California, Irvine",2015,89,USA,52,227,68,162,51.51,29.3,45.3,39.5,56.1,41.7,26614,16.1
University of Helsinki,2012,89,Finland,1,96,54,101,44.44,16.8,52.7,39.3,46.8,54.2,23505,15.1
University of Oslo,2012,91,Norway,1,101,101,101,44.26,33.6,51.1,33.5,63.9,36.9,27139,18.8
Kyushu University,2014,92,Japan,7,355,283,27,51.96,0,45.8,38.6,24.5,28,18925,6.7
University of Geneva,2015,92,Switzerland,3,35,115,321,51.46,28.2,38.1,34.5,96.8,37.2,15668,15
University of Sydney,2013,92,Australia,1,101,101,48,44.77,0,62.5,59.5,83,70.1,41868,20.2
University of Copenhagen,2012,93,Denmark,1,101,101,101,44.15,19.4,58.6,37.8,74.8,31.6,27545,4.1
Rice University,2013,94,USA,56,51,64,81,44.53,21.9,29.5,49.5,59,39.3,6333,9
University of Sydney,2012,94,Australia,2,101,85,69,44.13,0,62.3,55.4,88.1,65.7,41868,20.2
Tufts University,2015,95,USA,54,60,93,84,51.22,16.3,34.9,43.6,51.1,33.9,10410,10
